original_row_number,original_row_id,original_row_sha256,title,split,window,metric,real_value,legacy_decision,neutral_lifecycle,experiment_family_id,variant_id,provenance_status,manifest_reference,production_eligible
1,5d7650b1840e,9c4dc6669d30d277294060e8ff0f7f6d2945534a8c011381f92f5751b0dc896b,mean_reversion re-test (honest execution),primary,train,mean_net_pct,-0.9716821472524912,rejected,TRAIN_REJECTED,legacy_mean_reversion_v1,primary_train_honest_execution,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
2,61fcd3023c4b,b87bd72397c76a1916ea6d0d2058f691a4f901e21f0d9b0613356cf50f823660,delivery_breakout (honest execution),delivery,train,mean_net_pct,0.0768675296888009,rejected,TRAIN_REJECTED,legacy_delivery_breakout_v1,delivery_train_honest_execution,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
3,80aff81a749e,0806a562dcad7a92383cc50f03d5d144073f6503d7a531471bd8ff338df27eeb,oi_momentum (honest execution),primary,train,mean_net_pct,-0.6272720050426498,rejected,TRAIN_REJECTED,legacy_oi_momentum_v1,primary_train_honest_execution,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
4,ee447825d3a7,486eed87c5e2f46ef1da1c4f2bdba3dcb3361bda577e99f44bfafbc2d847ffaf,participant_tilt (honest execution),delivery,train,mean_net_pct,-0.5152768107504366,rejected,TRAIN_REJECTED,legacy_participant_tilt_v1,delivery_train_base,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
5,663cebb9f054,7d534a34889126d780b740a5426bde93ba34c052e4935098ad3c71e42ddd25fb,vol_squeeze_breakout (honest execution),primary,train,mean_net_pct,-0.3819995458716935,rejected,TRAIN_REJECTED,legacy_volatility_squeeze_v1,primary_train_immediate_entry,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
6,e39de46a0f24,8cb1949905a4efa629a8654d5cd43b7cfcc5decc1e18be32b65cf13862de7426,"vol_squeeze_breakout (delay=2, honest execution)",primary,train,mean_net_pct,0.0773770804724346,rejected,TRAIN_REJECTED,legacy_volatility_squeeze_v1,primary_train_delay_2,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
7,cdd796d6e171,fa398e00b96bbb5d46c684d13f1174eab87da26508ba049ac6f071bbe81f9be0,pairs_reversion (honest fills + costs),primary,train,net_pnl_pct,0.1542558079177629,rejected,TRAIN_REJECTED,legacy_pairs_reversion_v1,primary_train_pre_rollforward_fix,AMBIGUOUS_ARTIFACT_MATCH,,false
8,ddc14822fb70,85ff926c80faa1328af8fd11dfee23623fc25bf35459c2acc49bd7a2f732d355,price_action LONG (honest execution),primary,train,mean_net_pct,-0.590941119880795,rejected,TRAIN_REJECTED,legacy_price_action_v1,primary_train_long,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
9,0b11b017cef9,fc9b17deaf357baec9bfa4ac89f664b209332298057359979d5a58ef37adb415,pairs_reversion (honest fills + costs),primary,train,net_pnl_pct,0.1760419617914634,rejected,TRAIN_REJECTED,legacy_pairs_reversion_v1,primary_train_rollforward_fix,AMBIGUOUS_ARTIFACT_MATCH,,false
10,c55019a896e7,ab831919ae5bc02e12e3413590d3760e01957ad2be6d3c46f334b3401115ac8b,same_sector_pairing (random draw),primary,train,net_pnl_pct,0.274762587370361,accepted,TRAIN_PROMOTED,legacy_same_sector_pairing_v1,primary_train_random,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
11,1d82fec2bbbc,2e68d06be541776adc1ca2641fe27532874120d32896c7e9e6b9ac2594d3d6e4,same_sector_pairing (liquidity-ranked),primary,train,net_pnl_pct,0.2432338030225891,accepted,TRAIN_PROMOTED,legacy_same_sector_pairing_v1,primary_train_liquidity_ranked,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
12,5dbcd00310b3,01d96262ef153cec1d1fc39dd321895a521e667d342c16b7d2d704306a479a11,same_sector_pairing (random draw),primary,val,net_pnl_pct,0.0520553643772448,rejected,VALIDATION_REJECTED,legacy_same_sector_pairing_v1,primary_validation_random,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
13,a7f9414d3392,1fe9e1fd5fe683777ca206ac61ba8336d1cf0e3364a572f66751451eeb94ff2b,same_sector_pairing (liquidity-ranked),primary,val,net_pnl_pct,0.0663115134526643,rejected,VALIDATION_REJECTED,legacy_same_sector_pairing_v1,primary_validation_liquidity_ranked,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
14,71357c1af8cd,001526aee11cddcfd580331cbd17d3f6b0ff1c060a7bddd796ecbbb8f7b5e3dc,same_sector_pairing (random draw),delivery,train,net_pnl_pct,-0.0738609142325104,rejected,TRAIN_REJECTED,legacy_same_sector_pairing_v1,delivery_train_random,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
15,99a2610cabee,5e51b851e87d0f94e2f4c5ae4c1c056e6432c43d87d5875f318c64ae3faa6ae6,same_sector_pairing (liquidity-ranked),delivery,train,net_pnl_pct,-0.0614878013240694,rejected,TRAIN_REJECTED,legacy_same_sector_pairing_v1,delivery_train_liquidity_ranked,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
16,fac149cb6b0b,2c8d08d62d504797c6f54715758cb4c6ec35e203c4058c5457120b88d2c9311b,vol_squeeze_breakout (honest execution),delivery,train,mean_net_pct,-0.1779307004612413,rejected,TRAIN_REJECTED,legacy_volatility_squeeze_v1,delivery_train_immediate_entry,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
17,423c548cc0d3,3be0418d5ca6f40af141d78b2e7f25c5a4fd460547bf6bff3df30f20f99d9b61,"momentum (12-1 month, long-only, honest execution)",primary,train,mean_net_pct,0.6013887475221124,rejected,TRAIN_REJECTED,legacy_momentum_12_1_v1,primary_train,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
18,0d8f2ac002c2,d38a1cc981fe003cbae4efce3c311d267d265c5b3fe2c519998a75c2f1026d98,mean_reversion re-test (honest execution),delivery,train,mean_net_pct,-0.4407277788908963,rejected,TRAIN_REJECTED,legacy_mean_reversion_v1,delivery_train_honest_execution,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
19,c9d3ab9ffc36,d1dc7a7adf4daf5b10342a655187b94027c3de49f416cb4f4951eed196525a63,oi_momentum (honest execution),delivery,train,mean_net_pct,-1.096952695544231,rejected,TRAIN_REJECTED,legacy_oi_momentum_v1,delivery_train_honest_execution,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
20,fc8303956df7,e0564ac7721a00919835cbc34324d68596788329fcd729ec077807d336ec0096,price_action LONG (honest execution),delivery,train,mean_net_pct,-0.3813636626048662,rejected,TRAIN_REJECTED,legacy_price_action_v1,delivery_train_long,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
21,0151b95c725e,5f7043058927ff838529bdb54a7c4603764a8b4f87d6719c63372ff3942fe64e,"momentum (12-1 month, long-only, honest execution)",delivery,train,mean_net_pct,2.016018879419983,accepted,TRAIN_PROMOTED,legacy_momentum_12_1_v1,delivery_train,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
22,f68079c5b0b8,45cd95cb171329047d83f180957a873d0855674ccec5048c4a48702b52424918,pairs_reversion (honest fills + costs),delivery,train,net_pnl_pct,0.5280968256949878,rejected,TRAIN_REJECTED,legacy_pairs_reversion_v1,delivery_train_rollforward_fix,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
23,ee89fa192a3e,9bae2eb66f1e5aa7e71c096c84f5e8464890739057e6f2e7fddde5794195dc85,"momentum (12-1 month, long-only, honest execution)",delivery,val,mean_net_pct,6.552057781363316,accepted,VALIDATION_CONFIRMED,legacy_momentum_12_1_v1,delivery_validation,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
24,dc18a3964319,da4963c97a2451256b635eeea1e1424430e309761baa9ce7171dd589be40ffbe,"participant_tilt, CALM-TERCILE stress-gated",delivery,train,mean_net_pct,0.3837105499929441,rejected,TRAIN_REJECTED,legacy_participant_tilt_v1,delivery_train_calm_tercile_stress_gate,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
25,180ea073ac1a,e46f9a6647b15a9852ce544806c7fa357ea4e72c9356e5b12cca889056da7748,"same_sector_pairing, Oil & Gas only (random draw)",primary,train,net_pnl_pct,0.6185689796065026,accepted,TRAIN_PROMOTED,legacy_same_sector_pairing_v1,oil_gas_primary_train_random,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
26,0e0d594da875,9b6731a1ded195c4b4fd187f1cb1eeb4918ed4ec805373c524061855f3bec572,"same_sector_pairing, Oil & Gas only (liquidity-ranked)",primary,train,net_pnl_pct,0.6262722717460527,accepted,TRAIN_PROMOTED,legacy_same_sector_pairing_v1,oil_gas_primary_train_liquidity_ranked,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
27,12b05d12a039,005a9dc28b93fab211823e50d7f36dacbc3a68ccc1c383176a892708a24c6d14,"same_sector_pairing, Oil & Gas only (random draw)",primary,val,net_pnl_pct,0.1697361023036375,rejected,VALIDATION_REJECTED,legacy_same_sector_pairing_v1,oil_gas_primary_validation_random,PARTIAL_ARTIFACTS_NO_MANIFEST,,false
